Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:21.44,"urn:cite:hmt:vaimg.VA270VN-0772@0.493,0.5638,0.44,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:21.45,"urn:cite:hmt:vaimg.VA270VN-0772@0.493,0.5818,0.44,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:21.46,"urn:cite:hmt:vaimg.VA270VN-0772@0.488,0.6036,0.44,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:21.47,"urn:cite:hmt:vaimg.VA270VN-0772@0.487,0.6224,0.44,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:21.48,"urn:cite:hmt:vaimg.VA270VN-0772@0.49,0.6404,0.44,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:21.49,"urn:cite:hmt:vaimg.VA270VN-0772@0.49,0.6584,0.44,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:21.50,"urn:cite:hmt:vaimg.VA270VN-0772@0.497,0.6787,0.44,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:21.51,"urn:cite:hmt:vaimg.VA271RN-0441@0.208,0.1854,0.464,0.0345"
urn:cts:greekLit:tlg0012.tlg001.msA:21.52,"urn:cite:hmt:vaimg.VA271RN-0441@0.206,0.2042,0.464,0.0345"
urn:cts:greekLit:tlg0012.tlg001.msA:21.53,"urn:cite:hmt:vaimg.VA271RN-0441@0.202,0.226,0.464,0.0345"
urn:cts:greekLit:tlg0012.tlg001.msA:21.54,"urn:cite:hmt:vaimg.VA271RN-0441@0.2,0.2485,0.464,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.55,"urn:cite:hmt:vaimg.VA271RN-0441@0.197,0.2628,0.464,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:21.56,"urn:cite:hmt:vaimg.VA271RN-0441@0.206,0.2838,0.393,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.57,"urn:cite:hmt:vaimg.VA271RN-0441@0.204,0.3018,0.404,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.58,"urn:cite:hmt:vaimg.VA271RN-0441@0.2,0.3183,0.434,0.0375"
urn:cts:greekLit:tlg0012.tlg001.msA:21.59,"urn:cite:hmt:vaimg.VA271RN-0441@0.198,0.3416,0.434,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.60,"urn:cite:hmt:vaimg.VA271RN-0441@0.198,0.3574,0.434,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.61,"urn:cite:hmt:vaimg.VA271RN-0441@0.196,0.3769,0.434,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.62,"urn:cite:hmt:vaimg.VA271RN-0441@0.195,0.4002,0.417,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.63,"urn:cite:hmt:vaimg.VA271RN-0441@0.195,0.4152,0.439,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.64,"urn:cite:hmt:vaimg.VA271RN-0441@0.195,0.4354,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.65,"urn:cite:hmt:vaimg.VA271RN-0441@0.196,0.455,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.66,"urn:cite:hmt:vaimg.VA271RN-0441@0.199,0.47,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.67,"urn:cite:hmt:vaimg.VA271RN-0441@0.198,0.4887,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.68,"urn:cite:hmt:vaimg.VA271RN-0441@0.199,0.5113,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.69,"urn:cite:hmt:vaimg.VA271RN-0441@0.197,0.5278,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.70,"urn:cite:hmt:vaimg.VA271RN-0441@0.192,0.5473,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.71,"urn:cite:hmt:vaimg.VA271RN-0441@0.193,0.5683,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.72,"urn:cite:hmt:vaimg.VA271RN-0441@0.195,0.5871,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.73,"urn:cite:hmt:vaimg.VA271RN-0441@0.19,0.6066,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.74,"urn:cite:hmt:vaimg.VA271RN-0441@0.187,0.6254,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.75,"urn:cite:hmt:vaimg.VA271RN-0441@0.182,0.6464,0.442,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.76,"urn:cite:hmt:vaimg.VA271VN-0773@0.467,0.229,0.418,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.77,"urn:cite:hmt:vaimg.VA271VN-0773@0.467,0.2485,0.418,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.78,"urn:cite:hmt:vaimg.VA271VN-0773@0.467,0.2658,0.418,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.79,"urn:cite:hmt:vaimg.VA271VN-0773@0.466,0.2875,0.418,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.80,"urn:cite:hmt:vaimg.VA271VN-0773@0.467,0.3041,0.418,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.81,"urn:cite:hmt:vaimg.VA271VN-0773@0.466,0.3228,0.418,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.82,"urn:cite:hmt:vaimg.VA271VN-0773@0.465,0.3408,0.418,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.83,"urn:cite:hmt:vaimg.VA271VN-0773@0.449,0.3604,0.439,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.84,"urn:cite:hmt:vaimg.VA271VN-0773@0.466,0.3769,0.439,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.85,"urn:cite:hmt:vaimg.VA271VN-0773@0.463,0.3994,0.386,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.86,"urn:cite:hmt:vaimg.VA271VN-0773@0.466,0.4159,0.4,0.0293"
