TitleUrn,Label,Description,ctsURN
urn:cite:hmt:title.title1,Odyssey,The other major Homeric epic detailing the homecoming of Odysseus from Troy,urn:cts:greekLit:tlg0012.tlg002
urn:cite:hmt:title.title1.1,Odyssey Book 1,The other major Homeric epic detailing the homecoming of Odysseus from Troy,urn:cts:greekLit:tlg0012.tlg002:1
